URL,Fiyat,Baslik,İl,İlçe,Mahalle,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,Fiyat Durumu,Aciklama,Yapı Durumu,Yapı Tipi,Kira Getirisi,Balkon Durumu,Balkon Sayısı,Balkon Tipi,İpotek Durumu,Aidat,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Sayısı,WC Metrekare,Ada,Parsel,Görüntülü Gezilebilir mi?,Zemin Etüdü,Kattaki Daire Sayısı
https://www.emlakjet.com/ilan/bornova-kizilayda-kapali-mutfak-21-sifir-satilik-daire-18114166,3.940.000 TL,,İzmir,Bornova,Kızılay Mahallesi,18114166,,27 Eylül 2025,Konut,Satılık,Daire,85 m²,90 m²,2+1,0 (Yeni),Düz Giriş (Zemin),5,Isıtma Yok,Boş,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18114166İlan Güncelleme Tarihi27 Eylül 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare85 m²Brüt Metrekare90 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Bulunduğu KatDüz Giriş (Zemin)Binanın Kat Sayısı5Isıtma TipiIsıtma YokKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/kw-cobans-dan-bornova-ataturk-mahallesi-nde-62-mustakil-bina-full-deniz-manzarali-cift-bahceli-18069981,10.750.000 TL,,İzmir,Bornova,Atatürk Mahallesi,18069981,15 Eylül 2025,25 Kasım 2025,Konut,Satılık,Bina,200 m²,300 m²,6+2,21 Ve Üzeri,,2,Kombi Doğalgaz,Boş,Bilinmiyor,Yatırıma Uygun,Arsa Tapulu,Hayır,Boş,Var,2,Genel Fiyat,İlan Numarası18069981İlan Oluşturma Tarihi15 Eylül 2025İlan Güncelleme Tarihi25 Kasım 2025TürüKonutKategorisiSatılıkTipiBinaNet Metrekare200 m²Brüt Metrekare300 m²Oda Sayısı6+2Binanın Yaşı21 Ve ÜzeriBinanın Kat Sayısı2Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukBilinmiyorYatırıma UygunlukYatırıma UygunYapı Durumuİkinci ElYapı TipiBetonarmeTapu DurumuArsa Tapuluİpotek DurumuYokSite İçerisindeHayırEşya DurumuBoşAidat1 TLKira Getirisi50000 TLTakasVarBanyo Sayısı2Banyo Metrekare8 m²Balkon DurumuVarKattaki Daire Sayısı1Balkon Sayısı3Salon Metrekare35 m²WC Sayısı2WC Metrekare4 m²Ada3089Parsel34Fiyat DurumuGenel FiyatGörüntülü Gezilebilir mi?EvetZemin EtüdüVarDaha Fazla Gör,İkinci El,Betonarme,50000 TL,Var,3.0,,Yok,1 TL,8 m²,,35 m²,2.0,4 m²,3089.0,34.0,Evet,Var,1.0
https://www.emlakjet.com/ilan/camdibi-tuval-yapi-da-firsat-fiyata-satilik-21-daire-18190888,4.750.000 TL,,İzmir,Bornova,Barbaros Mahallesi,18190888,,07 Ekim 2025,Konut,Satılık,Daire,70 m²,75 m²,2+1,0 (Yeni),3.Kat,11,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18190888İlan Güncelleme Tarihi07 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare70 m²Brüt Metrekare75 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Bulunduğu Kat3.KatBinanın Kat Sayısı11Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornovanin-merkezine-yurume-mesafesinde-satilik-21-sifir-daire-18101493,4.250.000 TL,,İzmir,Bornova,Kızılay Mahallesi,18101493,,18 Ekim 2025,Konut,Satılık,Daire,75 m²,80 m²,2+1,0 (Yeni),1.Kat,2,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18101493İlan Güncelleme Tarihi18 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare75 m²Brüt Metrekare80 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Bulunduğu Kat1.KatBinanın Kat Sayısı2Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/folkart-time-esyali-11-daire-satilik-18295184,6.250.000 TL,,İzmir,Bornova,Kazımdirik Mahallesi,18295184,,03 Kasım 2025,Konut,Satılık,Daire,40 m²,50 m²,1+1,4,3.Kat,9,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,Genel Fiyat,İlan Numarası18295184İlan Güncelleme Tarihi03 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare40 m²Brüt Metrekare50 m²Oda Sayısı1+1Binanın Yaşı4Bulunduğu Kat3.KatBinanın Kat Sayısı9Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeEvetEşya DurumuEşyalıTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/kw-cobans-tan-kamil-tunca-da-11-ofis-ve-konut-tapulu-80-kredi-imkani-balkonlu-butik-daire-18219393,3.290.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,18219393,10 Ekim 2025,20 Kasım 2025,Konut,Satılık,Daire,50 m²,62 m²,1+1,5-10,6.Kat,9,Isıtma Yok,Boş,Krediye Uygun,Yatırıma Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18219393İlan Oluşturma Tarihi10 Ekim 2025İlan Güncelleme Tarihi20 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare50 m²Brüt Metrekare62 m²Oda Sayısı1+1Binanın Yaşı5-10Bulunduğu Kat6.KatBinanın Kat Sayısı9Isıtma TipiIsıtma YokKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukYatırıma UygunYapı Durumuİkinci ElYapı TipiBetonarmeTapu DurumuKat İrtifakıSite İçerisindeHayırİpotek DurumuYokEşya DurumuBoşAidat250 TLKira Getirisi25000 TLTakasYokBanyo Sayısı1Banyo Metrekare6 m²Salon Metrekare20 m²WC Sayısı1WC Metrekare6 m²Ada7626Parsel1Fiyat DurumuGenel FiyatGörüntülü Gezilebilir mi?EvetDaha Fazla Gör,İkinci El,Betonarme,25000 TL,,,,Yok,250 TL,6 m²,,20 m²,1.0,6 m²,7626.0,1.0,Evet,,
https://www.emlakjet.com/ilan/eysden-bornova-merkezde-31-140m2-arakat-asansor-otoparkli-daire-18071686,5.000.000 TL,,İzmir,Bornova,Ergene Mahallesi,18071686,,16 Eylül 2025,Konut,Satılık,Daire,128 m²,140 m²,3+1,21 Ve Üzeri,7.Kat,8,Merkezi Doğalgaz,Boş,Krediye Uygun,,Kat İrtifakı,Evet,,,1,Genel Fiyat,İlan Numarası18071686İlan Güncelleme Tarihi16 Eylül 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare128 m²Brüt Metrekare140 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat7.KatBinanın Kat Sayısı8Isıtma TipiMerkezi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunTapu DurumuKat İrtifakıSite İçerisindeEvetKira Getirisi40000 TLBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,40000 TL,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/saykan-emlaktan-satilik-21-daire-18234969,4.260.000 TL,,İzmir,Bornova,Rafet Paşa Mahallesi,18234969,,13 Ekim 2025,Konut,Satılık,Daire,100 m²,120 m²,2+1,21 Ve Üzeri,1.Kat,3,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Hayır,Boş,Yok,1,Genel Fiyat,İlan Numarası18234969İlan Güncelleme Tarihi13 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare100 m²Brüt Metrekare120 m²Oda Sayısı2+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat1.KatBinanın Kat Sayısı3Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornava-ataturk-mahallesi-satilik-31-tripleks-villa-18231946,14.000.000 TL,,İzmir,Bornova,Atatürk Mahallesi,18231946,,13 Ekim 2025,Konut,Satılık,Villa,110 m²,210 m²,3+1,0 (Yeni),,3,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Var,2,Genel Fiyat,İlan Numarası18231946İlan Güncelleme Tarihi13 Ekim 2025TürüKonutKategorisiSatılıkTipiVillaNet Metrekare110 m²Brüt Metrekare210 m²Oda Sayısı3+1Binanın Yaşı0 (Yeni)Binanın Kat Sayısı3Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıEşya DurumuBoşSite İçerisindeHayırTakasVarBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/emlak-buraya-dan-bornova-dap-izmir-esyali-satilik-studyo-daire-18197342,2.990.000 TL,,İzmir,Bornova,Barbaros Mahallesi,18197342,,09 Ekim 2025,Konut,Satılık,Daire,28 m²,40 m²,Stüdyo,4,17.Kat,30,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,Genel Fiyat,İlan Numarası18197342İlan Güncelleme Tarihi09 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare28 m²Brüt Metrekare40 m²Oda SayısıStüdyoBinanın Yaşı4Bulunduğu Kat17.KatBinanın Kat Sayısı30Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeEvetEşya DurumuEşyalıTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-point-residence-satilik-21-daire-18124572,4.200.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,18124572,,25 Eylül 2025,Konut,Satılık,Daire,69 m²,86 m²,2+1,5-10,8.Kat,45,Merkezi (Pay Ölçer),Boş,Krediye Uygun,,Kat İrtifakı,Evet,,,2,Genel Fiyat,İlan Numarası18124572İlan Güncelleme Tarihi25 Eylül 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare69 m²Brüt Metrekare86 m²Oda Sayısı2+1Binanın Yaşı5-10Bulunduğu Kat8.KatBinanın Kat Sayısı45Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuBoşKrediye UygunlukKrediye UygunTapu DurumuKat İrtifakıSite İçerisindeEvetBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/satilik-bornova-point-residence-31-daire-18108847,10.000.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,18108847,,22 Eylül 2025,Konut,Satılık,Daire,115 m²,140 m²,3+1,5-10,25.Kat,45,Merkezi (Pay Ölçer),Boş,Krediye Uygun,,Kat İrtifakı,Evet,,,2,Genel Fiyat,İlan Numarası18108847İlan Güncelleme Tarihi22 Eylül 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare115 m²Brüt Metrekare140 m²Oda Sayısı3+1Binanın Yaşı5-10Bulunduğu Kat25.KatBinanın Kat Sayısı45Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuBoşKrediye UygunlukKrediye UygunTapu DurumuKat İrtifakıSite İçerisindeEvetBanyo Sayısı2Balkon DurumuVarBalkon Sayısı1Fiyat DurumuGenel FiyatGörüntülü Gezilebilir mi?EvetDaha Fazla Gör,,,,Var,1.0,,,,,,,,,,,Evet,,
https://www.emlakjet.com/ilan/valizinizle-tasinin-havuz-manzarali-esyali-21-loft-daire-18081566,5.500.000 TL,,İzmir,Bornova,Kazımdirik Mahallesi,18081566,17 Eylül 2025,27 Kasım 2025,Konut,Satılık,Daire,90 m²,105 m²,2+1,0 (Yeni),Bahçe Katı,8,Klimalı,Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,Genel Fiyat,İlan Numarası18081566İlan Oluşturma Tarihi17 Eylül 2025İlan Güncelleme Tarihi27 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare90 m²Brüt Metrekare105 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Bulunduğu KatBahçe KatıBinanın Kat Sayısı8Isıtma TipiKlimalıKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeEvetEşya DurumuEşyalıTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,
