URL,Fiyat,Baslik,İl,İlçe,Mahalle,İlan Numarası,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Tapu Durumu,Eşya Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,Aciklama,İlan Oluşturma Tarihi,Yapı Durumu,İpotek Durumu,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Salon Metrekare,WC Sayısı,WC Metrekare,Zemin Etüdü,Bulunduğu Kat,Yapı Tipi,Balkon Metrekare,Parsel,Görüntülü Gezilebilir mi?,Ada,Kira Getirisi,Aidat,Kattaki Daire Sayısı,Pafta
https://www.emlakjet.com/ilan/bornova-altindag-serintepe-de-satilik-3-katli-mustakil-bina-17540519,7.500.000 TL,,İzmir,Bornova,Serintepe Mahallesi,17540519,23 Kasım 2025,Konut,Satılık,Bina,240 m²,315 m²,2+1,21 Ve Üzeri,3,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,,Kat Mülkiyeti,,Hayır,,1,Genel Fiyat,İlan Numarası17540519İlan Oluşturma Tarihi24 Haziran 2025İlan Güncelleme Tarihi23 Kasım 2025TürüKonutKategorisiSatılıkTipiBinaNet Metrekare240 m²Brüt Metrekare315 m²Oda Sayısı2+1Binanın Yaşı21 Ve ÜzeriBinanın Kat Sayısı3Isıtma TipiKombi DoğalgazKullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye UygunTapu DurumuKat MülkiyetiSite İçerisindeHayırBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,24 Haziran 2025,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/ikon-live-130-m2-satilik-31-havuz-cephe-daire-17699865,13.000.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,17699865,07 Kasım 2025,Konut,Satılık,Daire,130 m²,190 m²,3+1,0 (Yeni),23,Merkezi (Pay Ölçer),Boş,Krediye Uygun,,Kat İrtifakı,,Hayır,,2,Genel Fiyat,İlan Numarası17699865İlan Güncelleme Tarihi07 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare130 m²Brüt Metrekare190 m²Oda Sayısı3+1Binanın Yaşı0 (Yeni)Bulunduğu Kat13.KatBinanın Kat Sayısı23Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuBoşKrediye UygunlukKrediye UygunTapu DurumuKat İrtifakıSite İçerisindeHayırBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,13.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/ikon-live-130-m2-satilik-31-havuz-cephe-daire-18050138,12.950.000 TL,,İzmir,Bornova,Yeşilova Mahallesi,18050138,08 Ekim 2025,Konut,Satılık,Daire,135 m²,190 m²,3+1,1,23,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Boş,Evet,Var,1,Genel Fiyat,İlan Numarası18050138İlan Güncelleme Tarihi08 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare135 m²Brüt Metrekare190 m²Oda Sayısı3+1Binanın Yaşı1Bulunduğu Kat13.KatBinanın Kat Sayısı23Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeEvetEşya DurumuBoşTakasVarBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,13.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/tuval-yapi-21-satilik-daire-17729994,5.300.000 TL,,İzmir,Bornova,Barbaros Mahallesi,17729994,24 Ekim 2025,Konut,Satılık,Daire,70 m²,92 m²,2+1,0 (Yeni),14,Kombi Doğalgaz,Boş,Bilinmiyor,Bilinmiyor,Müstakil Tapulu,Boş,Hayır,Var,1,Genel Fiyat,İlan Numarası17729994İlan Güncelleme Tarihi24 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare70 m²Brüt Metrekare92 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Bulunduğu Kat9.KatBinanın Kat Sayısı14Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukBilinmiyorYatırıma UygunlukBilinmiyorTapu DurumuMüstakil TapuluSite İçerisindeHayırEşya DurumuBoşTakasVarBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,9.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-yakakoy-21-ozel-yapim-sifir-tek-tapu-mustakil-ev-17991067,6.750.000 TL,,İzmir,Bornova,Yakaköy Mahallesi,17991067,01 Eylül 2025,Konut,Satılık,Müstakil Ev,94 m²,475 m²,2+1,0 (Yeni),1,Klimalı,Boş,Krediye Uygun Değil,Bilinmiyor,Müstakil Tapulu,Boş,Hayır,Var,2,Genel Fiyat,İlan Numarası17991067İlan Güncelleme Tarihi01 Eylül 2025TürüKonutKategorisiSatılıkTipiMüstakil EvNet Metrekare94 m²Brüt Metrekare475 m²Oda Sayısı2+1Binanın Yaşı0 (Yeni)Binanın Kat Sayısı1Isıtma TipiKlimalıKullanım DurumuBoşKrediye UygunlukKrediye Uygun DeğilYatırıma UygunlukBilinmiyorTapu DurumuMüstakil TapuluEşya DurumuBoşSite İçerisindeHayırTakasVarBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/camdibi-nde-3-katli-mustakil-ev-tapulari-ayri-kat-mulkiyetli-17930965,11.000.000 TL,,İzmir,Bornova,Yıldırım Beyazıt Mahallesi,17930965,26 Kasım 2025,Konut,Satılık,Müstakil Ev,100 m²,120 m²,3+1,21 Ve Üzeri,3,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Boş,Hayır,Yok,1,Genel Fiyat,İlan Numarası17930965İlan Oluşturma Tarihi21 Ağustos 2025İlan Güncelleme Tarihi26 Kasım 2025TürüKonutKategorisiSatılıkTipiMüstakil EvNet Metrekare100 m²Brüt Metrekare120 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBinanın Kat Sayısı3Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,21 Ağustos 2025,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-meydan-cadde-uzeri-tadilatli-bos-satilik-31-daire-17488136,4.800.000 TL,,İzmir,Bornova,Kazımdirik Mahallesi,17488136,30 Eylül 2025,Konut,Satılık,Daire,90 m²,95 m²,3+1,21 Ve Üzeri,8,Merkezi Doğalgaz,Boş,Krediye Uygun,,Kat Mülkiyeti,,Hayır,,1,Genel Fiyat,İlan Numarası17488136İlan Oluşturma Tarihi15 Haziran 2025İlan Güncelleme Tarihi30 Eylül 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare90 m²Brüt Metrekare95 m²Oda Sayısı3+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat7.KatBinanın Kat Sayısı8Isıtma TipiMerkezi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunTapu DurumuKat MülkiyetiSite İçerisindeHayırBanyo Sayısı1Ada404Parsel155Fiyat DurumuGenel FiyatDaha Fazla Gör,15 Haziran 2025,,,,,,,,,,,7.Kat,,,155.0,,404.0,,,,
https://www.emlakjet.com/ilan/anka-gayrimenkul-den-bornova-nin-merkezinde-satilik-daireler-17860052,4.750.000 TL,,İzmir,Bornova,Kazımdirik Mahallesi,17860052,15 Kasım 2025,Konut,Satılık,Daire,50 m²,55 m²,1+1,0 (Yeni),6,Kombi Doğalgaz,Boş,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Boş,Hayır,Yok,1,Genel Fiyat,İlan Numarası17860052İlan Güncelleme Tarihi15 Kasım 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare50 m²Brüt Metrekare55 m²Oda Sayısı1+1Binanın Yaşı0 (Yeni)Bulunduğu Kat2.KatBinanın Kat Sayısı6Isıtma TipiKombi DoğalgazKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,2.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/bornova-veranova-sitesi-nde-21-satilik-bahceli-dubleks-daire-17552660,6.250.000 TL,,İzmir,Bornova,Mevlana Mahallesi,17552660,23 Ekim 2025,Konut,Satılık,Daire,85 m²,113 m²,2+1,5-10,7,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Boş,Hayır,Yok,2,Genel Fiyat,İlan Numarası17552660İlan Güncelleme Tarihi23 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare85 m²Brüt Metrekare113 m²Oda Sayısı2+1Binanın Yaşı5-10Bulunduğu Kat1.KatBinanın Kat Sayısı7Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı2Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,1.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/ergene-mah-asik-veysel-yakini-550-sokak-ta-21-satilik-daire-18007952,4.150.000 TL,,İzmir,Bornova,Ergene Mahallesi,18007952,27 Ekim 2025,Konut,Satılık,Daire,79 m²,85 m²,2+1,21 Ve Üzeri,3,Klimalı,Kiracı Oturuyor,Krediye Uygun,Bilinmiyor,Kat İrtifakı,Boş,Hayır,Yok,1,Genel Fiyat,İlan Numarası18007952İlan Oluşturma Tarihi04 Eylül 2025İlan Güncelleme Tarihi27 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare79 m²Brüt Metrekare85 m²Oda Sayısı2+1Binanın Yaşı21 Ve ÜzeriBulunduğu Kat1.KatBinanın Kat Sayısı3Isıtma TipiKlimalıKullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat İrtifakıSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,04 Eylül 2025,,,,,,,,,,,1.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/folkart-life-bornova-21-satilik-daire-17900877,8.500.000 TL,,İzmir,Bornova,Kazımdirik Mahallesi,17900877,27 Ekim 2025,Konut,Satılık,Daire,70 m²,74 m²,2+1,5-10,15,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,Krediye Uygun Değil,Bilinmiyor,Kat Mülkiyeti,Boş,Evet,Yok,1,Genel Fiyat,İlan Numarası17900877İlan Güncelleme Tarihi27 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare70 m²Brüt Metrekare74 m²Oda Sayısı2+1Binanın Yaşı5-10Bulunduğu Kat1.KatBinanın Kat Sayısı15Isıtma TipiMerkezi (Pay Ölçer)Kullanım DurumuMülk Sahibi OturuyorKrediye UygunlukKrediye Uygun DeğilYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeEvetEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,1.Kat,,,,,,,,,
https://www.emlakjet.com/ilan/ataturk-mahallesinde-tripleks-luks-villa-18010420,14.750.000 TL,,İzmir,Bornova,İnönü Mahallesi,18010420,07 Eylül 2025,Konut,Satılık,Villa,180 m²,220 m²,4+1,0 (Yeni),3,Yerden Isıtma,Boş,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Boş,Hayır,Var,3,Genel Fiyat,İlan Numarası18010420İlan Güncelleme Tarihi07 Eylül 2025TürüKonutKategorisiSatılıkTipiVillaNet Metrekare180 m²Brüt Metrekare220 m²Oda Sayısı4+1Binanın Yaşı0 (Yeni)Binanın Kat Sayısı3Isıtma TipiYerden IsıtmaKullanım DurumuBoşKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiEşya DurumuBoşSite İçerisindeHayırTakasVarBanyo Sayısı3Fiyat DurumuGenel FiyatDaha Fazla Gör,,,,,,,,,,,,,,,,,,,,,
https://www.emlakjet.com/ilan/ataturk-mahallesinde-220-m2-41-ultra-luks-satilik-villa-18046669,15.950.000 TL,,İzmir,Bornova,İnönü Mahallesi,18046669,22 Eylül 2025,Konut,Satılık,Villa,160 m²,220 m²,4+1,0 (Yeni),3,Yerden Isıtma,Boş,Krediye Uygun,,Kat Mülkiyeti,,Evet,,2,Genel Fiyat,İlan Numarası18046669İlan Güncelleme Tarihi22 Eylül 2025TürüKonutKategorisiSatılıkTipiVillaNet Metrekare160 m²Brüt Metrekare220 m²Oda Sayısı4+1Binanın Yaşı0 (Yeni)Binanın Kat Sayısı3Isıtma TipiYerden IsıtmaKullanım DurumuBoşKrediye UygunlukKrediye UygunYapı DurumuSıfırYapı TipiBetonarmeTapu DurumuKat MülkiyetiSite İçerisindeEvetKira Getirisi70000 TLBanyo Sayısı2Balkon DurumuVarFiyat DurumuGenel FiyatDaha Fazla Gör,,Sıfır,,,Var,,,,,,,,Betonarme,,,,,70000 TL,,,
https://www.emlakjet.com/ilan/altindag-kosukavak-mahallesinde-satilik-daire-17529751,2.450.000 TL,,İzmir,Bornova,Koşukavak Mahallesi,17529751,07 Ekim 2025,Konut,Satılık,Daire,90 m²,92 m²,2+1,21 Ve Üzeri,5,Klimalı,Kiracı Oturuyor,Krediye Uygun,Bilinmiyor,Kat Mülkiyeti,Boş,Hayır,Yok,1,Genel Fiyat,İlan Numarası17529751İlan Oluşturma Tarihi23 Haziran 2025İlan Güncelleme Tarihi07 Ekim 2025TürüKonutKategorisiSatılıkTipiDaireNet Metrekare90 m²Brüt Metrekare92 m²Oda Sayısı2+1Binanın Yaşı21 Ve ÜzeriBulunduğu KatDüz Giriş (Zemin)Binanın Kat Sayısı5Isıtma TipiKlimalıKullanım DurumuKiracı OturuyorKrediye UygunlukKrediye UygunYatırıma UygunlukBilinmiyorTapu DurumuKat MülkiyetiSite İçerisindeHayırEşya DurumuBoşTakasYokBanyo Sayısı1Fiyat DurumuGenel FiyatDaha Fazla Gör,23 Haziran 2025,,,,,,,,,,,Düz Giriş (Zemin),,,,,,,,,
